M7	M8	M9	M10	M1	M11	M2	M12	M3	M4	M5	M6	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	5	5	5	50.201	0.0021286	2.5176	0	P27577	P27577	Protein C-ets-1	Ets1	1071
33247	24391	35927	27545	26814	31835	43134	37535	43662	30405	40660	45110	2	2	2	5.3	5.3	5.3	44.095	0	3.9256	2	P27600	P27600	Guanine nucleotide-binding protein subunit alpha-12	Gna12	1072
284040	208670	280840	231360	216720	207570	303940	292160	320200	253880	281250	344340	10	9	9	27.3	24.4	24.4	44.054	0	38.525	14	P27601	P27601	Guanine nucleotide-binding protein subunit alpha-13	Gna13	1073
472120	346210	454840	385000	395070	335420	537830	550470	561570	447510	576470	625360	15	15	15	28.8	28.8	28.8	87.22	0	167.42	22	P27612	P27612	Phospholipase A-2-activating protein	Plaa	1074
227100	135170	160720	183230	187060	153930	202650	192660	200300	220470	188280	191550	4	4	4	6.7	6.7	6.7	83.056	0	66.053	9	P27641	P27641	X-ray repair cross-complementing protein 5	Xrcc5	1075
3984700	3714800	3922900	3380300	4193500	3522100	4797700	4589600	4996500	4651100	5131700	5191800	21	21	21	42.2	42.2	42.2	46.109	0	313.48	63	P27659	P27659	60S ribosomal protein L3	Rpl3	1076
12417	8405.099609375	14242	10789	15546	10740	10226	13142	10451	15404	8435.7998046875	7440.7001953125	5	3	3	32.2	16.1	16.1	15.142	0	3.5602	6	P27661	P27661	Histone H2AX	H2afx	1077
17254000	15712000	18848000	13346000	15282000	15452000	24002000	22765000	24274000	16934000	23226000	26803000	42	42	42	71.5	71.5	71.5	56.678	0	323.31	189	P27773	P27773	Protein disulfide-isomerase A3	Pdia3	1078
401740	241450	309100	283150	347360	249100	379420	367940	405380	367380	394610	452800	6	6	6	12.5	12.5	12.5	51.69	0	65.798	6	P27808	P27808	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Mgat1	1079
135100	125050	152420	104580	112320	142560	178120	171290	188790	136120	195990	202590	14	14	10	19.9	19.9	14.7	88.779	0	323.31	13	P28028;P28028-2	P28028;P28028-2	Serine/threonine-protein kinase B-raf	Braf	1080
55170	29373	54211	38760	62293	53196	55271	68432	60830	67555	66786	61716	6	6	2	29.4	29.4	5.7	31.445	0	67.305	6	P28033;P28033-3	P28033;P28033-3	CCAAT/enhancer-binding protein beta	Cebpb	1081
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	1	1	54.5	6.2	6.2	15.597	0.001985	2.5748	1	P28033-2	P28033-2	CCAAT/enhancer-binding protein beta	Cebpb	1082
620620	368540	476260	506200	493320	395390	497100	536670	548410	507160	499700	611700	14	14	14	20.4	20.4	20.4	98.124	0	52.482	26	P28271	P28271	Cytoplasmic aconitate hydratase	Aco1	1083
797910	254040	368710	677120	865280	333960	731860	437650	921620	884840	651600	1046000	11	11	11	38.4	38.4	38.4	46.7	0	102.87	26	P28301	P28301	Protein-lysine 6-oxidase	Lox	1084
616000	425780	608990	489560	522120	428530	527420	684380	690040	652680	654090	819170	11	11	11	47	47	47	35.49	0	250.32	17	P28352	P28352	DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial	Apex1	1085
1992300	1583000	2334400	1719700	1832300	1731300	2179300	2388900	2492100	2202100	2149500	2916100	10	10	7	28.1	28.1	23	39.547	0	112.89	23	P28474	P28474	Alcohol dehydrogenase class-3	Adh5	1086
16678	7980.39990234375	11768	9024.2998046875	15348	9413.7001953125	15428	11805	17495	19542	16503	18784	1	1	1	1.6	1.6	1.6	70.557	0.0019841	2.567	1	P28571-1;P28571;P28571-2	P28571-1;P28571;P28571-2	Sodium- and chloride-dependent glycine transporter 1	Slc6a9	1087
48646	36199	56182	38175	44023	40274	54624	60077	62575	45184	54667	63971	5	5	3	35.8	35.8	15.2	17.171	0	323.31	9	P28574-2	P28574-2	Protein max	Max	1088
2431100	1595600	2737400	1780400	1822100	1916200	2422400	2848100	2984500	2129800	2348100	3509500	17	17	16	54.2	54.2	54.2	41.639	0	268.29	49	P28653	P28653	Biglycan	Bgn	1089
1006000	283390	677770	691110	543370	372270	469010	737660	654800	689650	503510	719900	8	7	7	20.6	18.4	18.4	39.809	0	24.2	8	P28654	P28654	Decorin	Dcn	1090
3495500	3086900	3688200	2826100	3552400	3479400	5335300	4995400	5177900	3738500	5152700	5838900	12	12	10	35.3	35.3	32.7	45.345	0	323.31	44	P28656	P28656	Nucleosome assembly protein 1-like 1	Nap1l1	1091
1631000	1333900	1734100	1207500	1517900	1444500	2143600	1947600	2333200	1701200	2094000	2636500	15	15	15	35.2	35.2	35.2	53.706	0	220.12	22	P28658	P28658	Ataxin-10	Atxn10	1092
22261	9865.2998046875	12019	12913	20675	14360	21174	13746	15271	19569	15977	18400	5	3	2	12.1	7.8	4.3	52.107	0.00031491	3.1698	2	P28659;P28659-4;P28659-2;P28659-3	P28659;P28659-4;P28659-2;P28659-3	CUGBP Elav-like family member 1	Celf1	1093
705330	549470	776760	571200	549030	558960	848840	838480	951650	723950	815030	1010300	11	11	10	9.7	9.7	9.5	128.78	0	66.13	19	P28660;P28660-2	P28660;P28660-2	Nck-associated protein 1	Nckap1	1094
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	1	15.9	15.9	5.6	54.935	0	7.3947	1	P28661;P28661-4;P28661-2;P28661-3	P28661;P28661-4;P28661-2;P28661-3	Septin-4	Sept4	1095
37029	35272	55409	33790	41044	43120	52025	70922	62354	45876	38322	50240	10	10	10	63	63	63	20.165	0	323.31	6	P28667	P28667	MARCKS-related protein	Marcksl1	1097
125620	120030	141250	106320	111890	124060	145810	166810	147510	115970	133220	157530	5	5	4	16.1	16.1	14.1	51.216	0	86.626	6	P28700;P28705;Q505F1;P28704;P28704-2	P28700	Retinoic acid receptor RXR-alpha	Rxra	1098
184820	171100	264790	148490	180320	182890	334030	323770	343930	209070	319890	398210	14	14	2	25.1	25.1	4.2	80.86	0	323.31	19	P28740-1;P28740;Q922S8;Q8C0N1	P28740-1;P28740	Kinesin-like protein KIF2A	Kif2a	1100
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	1	1	25.5	2.7	2.7	74.844	0	307.7	0	P28740-2	P28740-2	Kinesin-like protein KIF2A	Kif2a	1101
50279	36270	63457	37779	48348	53001	61756	59895	62125	46957	58420	57636	4	4	4	6.6	6.6	6.6	80.169	0	8.5307	5	P28741;Q99PW8	P28741	Kinesin-like protein KIF3A	Kif3a	1102
296200	229120	357240	223720	270310	271940	383850	470500	399300	279960	359180	424950	8	8	8	18.8	18.8	18.8	63.458	0	86.927	28	P28798	P28798	Granulins;Acrogranin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7	Grn	1103
64388	47987	106960	58293	55866	58394	73543	121570	90411	70320	63562	100760	7	6	6	5.9	5	5	163.65	0	153.04	9	P28828	P28828	Receptor-type tyrosine-protein phosphatase mu	Ptprm	1104
515150	504250	579250	415240	443270	502310	709090	653120	793550	513570	767540	925150	11	11	11	19.3	19.3	19.3	77.546	0	200.21	12	P28867;P28867-2	P28867;P28867-2	Protein kinase C delta type;Protein kinase C delta type regulatory subunit;Protein kinase C delta type catalytic subunit	Prkcd	1105
59128	101430	67258	40292	179250	127720	326580	92233	424730	183600	282490	467670	14	14	14	46.3	46.3	46.3	37.824	0	142.12	28	P29268	P29268	Connective tissue growth factor	Ctgf	1106
3856900	3012700	3379600	2996800	3734500	2989900	4363300	3882400	4253200	3762400	3915400	4470600	28	28	28	39.8	39.8	39.8	70.67	0	323.31	71	P29341	P29341	Polyadenylate-binding protein 1	Pabpc1	1107
11180	11901	8401.5	9183.900390625	11685	11003	11880	11924	10230	8548.5	12844	15632	5	1	1	20	5.9	5.9	37.379	0	24.492	2	P29387	P29387	Guanine nucleotide-binding protein subunit beta-4	Gnb4	1108
338170	251950	476180	260520	189600	236510	238200	491000	341370	243630	259140	393390	7	7	7	37.7	37.7	37.7	20.802	0	240.23	13	P29391;P49945	P29391	Ferritin light chain 1	Ftl1	1109
1902200	1155400	2074700	1711600	1411500	1373700	1361100	2427400	1653300	1566700	1263100	1885700	14	14	14	24.6	24.6	24.6	60.612	0	157.87	29	P29416	P29416	Beta-hexosaminidase subunit alpha	Hexa	1110
66441	168700	199410	66858	73809	179450	268480	271870	396400	126320	252950	464500	1	1	1	2.7	2.7	2.7	45.64	0.0032831	2.2731	1	P29452	P29452	Caspase-1;Caspase-1 subunit p20;Caspase-1 subunit p10	Casp1	1111
7110400	1534800	3341600	5229200	5204800	1867000	3319400	3827600	3567800	5436900	3129000	4514000	33	33	16	45.6	45.6	18.5	81.317	0	323.31	62	P29533	P29533	Vascular cell adhesion protein 1	Vcam1	1112
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19	2	2	61.2	3.8	3.8	38.372	0.00031591	3.2531	3	P29533-2	P29533-2	Vascular cell adhesion protein 1	Vcam1	1113
37040	27273	38292	27737	29488	34501	54300	48926	52726	40193	59688	58189	5	5	5	54.3	54.3	54.3	8.9723	0	58.221	17	P29595	P29595	NEDD8	Nedd8	1114
3618500	4152400	5146100	3225300	3609800	4382200	5084600	6196100	5657800	3802100	5093600	6214600	26	26	26	60.4	60.4	60.4	48.354	0	312.88	83	P29758	P29758	Ornithine aminotransferase, mitochondrial	Oat	1115
1934800	259520	1617000	1470000	1671600	384970	731890	1829900	2254500	1926300	608940	2717800	4	4	4	20.4	20.4	20.4	25.36	0	74.631	9	P30115;P13745;P10648	P30115;P13745;P10648	Glutathione S-transferase A3;Glutathione S-transferase A1;Glutathione S-transferase A1, N-terminally processed;Glutathione S-transferase A2	Gsta3;Gsta1;Gsta2	1116
3276.80004882813	3585.69995117188	3945.10009765625	2645	3989.69995117188	3351.60009765625	6107.2001953125	4576.10009765625	3877.39990234375	4130.2998046875	4585.2998046875	4011.60009765625	4	4	4	18	18	18	32.897	0	28.01	2	P30280	P30280	G1/S-specific cyclin-D2	Ccnd2	1117
5378.2001953125	6409.60009765625	4696.2998046875	3901.10009765625	4397.7001953125	4927.5	7103.60009765625	7362.2001953125	8236.5	5625.60009765625	6421.7998046875	5695.60009765625	6	6	6	20.5	20.5	20.5	32.41	0	28.189	3	P30282	P30282	G1/S-specific cyclin-D3	Ccnd3	1118
132400	96840	128520	89799	114530	113410	148430	155150	155700	114040	134430	152200	7	7	6	32	32	25.1	33.75	0	73.759	9	P30285	P30285	Cyclin-dependent kinase 4	Cdk4	1119
8279400	6424400	5153000	6338100	7339700	6212500	9285900	5713200	7191400	8629000	9043500	8133100	7	7	7	33.5	33.5	33.5	22.794	0	75.803	16	P30412	P30412	Peptidyl-prolyl cis-trans isomerase C	Ppic	1120
2260.30004882813	2291.5	2294.39990234375	2575.80004882813	2312.80004882813	2596.80004882813	1551.69995117188	2704.19995117188	2077.30004882813	1576.90002441406	2847.80004882813	1948.5	6	6	6	4	4	4	163.45	0	137.27	1	P30415	P30415	NK-tumor recognition protein;Putative peptidyl-prolyl cis-trans isomerase	Nktr	1121
780550	686950	678390	636110	555340	735950	639140	748070	594720	647110	604790	664420	16	16	16	43	43	43	51.572	0	120.41	25	P30416	P30416	Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed	Fkbp4	1122
20748	28047	42544	18900	23928	41189	53320	57262	60186	28168	38725	52537	3	3	3	4.8	4.8	4.8	95.016	0	32.632	5	P30561;Q8R4S6;Q8R4S5	P30561;Q8R4S6;Q8R4S5	Aryl hydrocarbon receptor	Ahr	1123
55830	30111	25246	69100	71688	31931	78075	50987	46325	60365	50055	60622	5	3	3	35.7	28.1	28.1	24.162	0	3.8593	3	P30681	P30681	High mobility group protein B2	Hmgb2	1124
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59	3	3	57.1	2.2	2.2	104.92	0	305.24	0	P30999	P30999	Catenin delta-1	Ctnnd1	1125
1219700	1406300	1582100	953710	1147200	1610000	2454200	1995700	2199700	1308400	2401200	2487900	60	60	4	58.3	58.3	2.5	102.56	0	323.31	55	P30999-3;P30999-2	P30999-3;P30999-2	Catenin delta-1	Ctnnd1	1126
77391	11641	32245	54072	32216	10303	17095	40675	25378	53662	17651	41829	10	4	4	19.2	11.9	11.9	53.497	0	14.711	5	P31001	P31001	Desmin	Des	1127
866510	665410	784440	625940	825580	689450	1104700	939870	1089900	817060	1151700	1146300	15	15	15	76.5	76.5	76.5	33.997	0	180.57	35	P31230	P31230	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2	Aimp1	1128
338960	226340	347450	288840	282110	265680	411680	444670	388970	322310	342070	360790	6	6	6	11	11	11	58.537	0	11.413	6	P31266;P31266-2	P31266;P31266-2	Recombining binding protein suppressor of hairless	Rbpj	1129
107140	71934	163360	69178	94621	70784	170900	173410	201550	119910	165470	206750	12	9	9	40.9	31	31	46.167	0	323.31	8	P31324	P31324	cAMP-dependent protein kinase type II-beta regulatory subunit	Prkar2b	1130
99649	60635	155300	98691	61167	45263	89663	161440	183770	109240	103990	194460	3	3	3	9.5	9.5	9.5	45.722	0	8.6279	3	P31428	P31428	Dipeptidase 1	Dpep1	1131
335570	308490	457370	285710	326120	291220	561760	490140	647020	391310	527190	727840	14	12	12	35.2	29.2	29.2	55.707	0	323.31	22	P31750;P31748	P31750;P31748	RAC-alpha serine/threonine-protein kinase	Akt1	1132
1493200	853640	1484200	1039600	1142900	1135300	1536200	1926100	1961800	1326600	1574300	2198000	7	7	7	69	69	69	10	0	120.04	14	P31786	P31786	Acyl-CoA-binding protein	Dbi	1133
1932400	1634400	1426900	1548200	1796000	1816700	2185600	1804100	1835800	1808900	2131300	1976500	12	12	9	48.3	48.3	37.7	43.474	0	177.38	22	P31938	P31938	Dual specificity mitogen-activated protein kinase kinase 1	Map2k1	1134
1819000	1374100	1692000	1445400	1745400	1384700	2086700	1934200	2494800	1816200	2208500	2784900	18	18	18	29.6	29.6	29.6	59.125	0	95.492	32	P32020;P32020-2	P32020;P32020-2	Non-specific lipid-transfer protein	Scp2	1135
2258400	1917300	2001200	1893600	2397000	1949100	2877800	2407500	2769200	2482400	2809200	3341800	9	9	9	25.5	25.5	25.5	47.756	0	72.28	15	P32067	P32067	Lupus La protein homolog	Ssb	1136
590950	489700	578690	483590	497160	540410	750940	714310	783130	576950	736770	884240	14	13	13	43.6	41.7	41.7	40.512	0	60.431	23	P32233	P32233	Developmentally-regulated GTP-binding protein 1	Drg1	1137
16176	11766	13390	13776	17238	15529	21540	16326	20406	17932	32271	23620	3	2	2	5.6	4.1	4.1	52.003	0.0018388	2.6358	2	P32261	P32261	Antithrombin-III	Serpinc1	1138
146600	109720	178590	113940	119370	132390	191660	237410	217000	146000	164720	239210	5	5	5	14.7	14.7	14.7	57.317	0	85.897	11	P32507;P32507-2	P32507;P32507-2	Nectin-2	Pvrl2	1140
1911700	1576400	2097500	1478700	1673400	1538500	2432500	2631700	2722500	1855600	2354600	3253200	6	6	2	51.6	51.6	17.6	21.482	0	134.61	16	P32883-2;P32883;P01117	P32883-2;P32883;P01117	GTPase KRas;GTPase KRas, N-terminally processed	Kras	1141
1866500	1852800	1919400	1484800	1720000	1825700	2624000	2409700	2829900	2043100	2637300	3442400	13	13	13	35.3	35.3	35.3	54.357	0	323.31	29	P32921;P32921-2	P32921;P32921-2	Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS	Wars	1142
37080	51597	67222	26070	42880	60596	132760	78743	131560	43785	114690	117790	16	10	10	13.2	8.2	8.2	191.72	0	140.35	8	P33173	P33173	Kinesin-like protein KIF1A	Kif1a	1143
46392	39346	39287	39820	41840	41496	50962	52676	44406	43682	41507	51071	5	5	5	9.4	9.4	9.4	71.292	0	46.036	6	P33215;P33215-2	P33215;P33215-2	Protein NEDD1	Nedd1	1144
409710	79996	362940	324190	186770	110640	134680	448450	221320	222870	150710	273940	7	7	7	16.5	16.5	16.5	55.948	0	19.895	10	P33267;Q64458	P33267	Cytochrome P450 2F2	Cyp2f2	1145
153450	100400	108840	94921	107010	103250	115940	123780	117870	118380	157070	138420	4	4	4	10.4	10.4	10.4	65.882	0	47.323	8	P33434-2;P33434	P33434-2;P33434	72 kDa type IV collagenase;PEX	Mmp2	1146
100610	62374	51858	77215	77797	48281	72908	72856	81084	69769	63223	90297	3	3	3	7.3	7.3	7.3	58.408	0	4.9468	4	P33610	P33610	DNA primase large subunit	Prim2	1147
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	2	2	2	66.213	0	12.019	0	P33611	P33611	DNA polymerase alpha subunit B	Pola2	1148
571310	387840	537990	462050	505740	491130	618980	674930	643700	598840	628580	804910	8	8	8	47.3	47.3	47.3	23.596	0	88.289	20	P34022	P34022	Ran-specific GTPase-activating protein	Ranbp1	1149
526300	385340	560860	430800	528310	465480	705300	673850	742170	581240	731380	811060	22	22	20	29.3	29.3	26.8	119.24	0	323.31	22	P34152;P34152-4;P34152-2;P34152-6;P34152-5;P34152-9;P34152-7;P34152-8	P34152;P34152-4;P34152-2;P34152-6;P34152-5	Focal adhesion kinase 1	Ptk2	1150
193040	52433	99626	174930	89447	62461	136330	130100	125010	93083	116810	185110	2	2	2	27.8	27.8	27.8	12.504	0	235.11	25	P34884	P34884	Macrophage migration inhibitory factor	Mif	1151
497840	372730	411090	362280	469470	379380	591620	513490	574070	526680	645830	598100	14	12	12	18.9	16.9	16.9	108.34	0	42.93	15	P35123	P35123	Ubiquitin carboxyl-terminal hydrolase 4	Usp4	1152
670350	727390	813680	555750	658000	724980	1094800	961470	1193100	745440	1111200	1221700	25	25	25	45.4	45.4	45.4	68.46	0	323.31	39	P35235-1;P35235	P35235-1;P35235	Tyrosine-protein phosphatase non-receptor type 11	Ptpn11	1153
3219000	2895700	3420400	2667900	3088600	3087500	4600500	4079400	4446100	3283600	4455100	5260700	11	8	8	63.9	49.1	49.1	23.412	0	194.39	22	P35278	P35278	Ras-related protein Rab-5C	Rab5c	1154
1079900	994990	1155200	813940	1014100	1031100	1480200	1275300	1512700	1180600	1502600	1750700	14	14	5	59.1	59.1	27.9	23.59	0	141.69	31	P35279;P35279-2	P35279;P35279-2	Ras-related protein Rab-6A	Rab6a	1155
618860	687870	845960	462600	461980	637950	989880	918100	964010	549040	1063500	1222800	9	9	8	41.4	41.4	35.6	24.106	0	68.596	16	P35282	P35282	Ras-related protein Rab-21	Rab21	1156
46356	53631	52770	38363	45319	54690	65032	76561	70670	51745	73275	82968	6	6	6	27.2	27.2	27.2	27.328	0	68.594	8	P35283	P35283	Ras-related protein Rab-12	Rab12	1157
464350	486700	626300	429180	479530	507520	787690	693720	921220	537820	738900	958660	7	7	5	41.8	41.8	36.1	21.802	0	50.714	12	P35285	P35285	Ras-related protein Rab-22A	Rab22a	1158
876060	679980	982840	689980	847380	771670	1340700	1166500	1471900	984750	1182900	1596700	6	6	6	28.7	28.7	28.7	26.678	0	50.446	12	P35288	P35288	Ras-related protein Rab-23	Rab23	1159
28734	19332	15362	21084	29557	29721	36413	26293	27658	33221	30454	38671	2	2	2	9.9	9.9	9.9	23.144	0	11.824	2	P35290	P35290	Ras-related protein Rab-24	Rab24	1160
2280800	2160200	2193500	1853800	2128700	2129600	3148200	2495600	2995900	2266300	2906200	3570900	14	14	14	65.5	65.5	65.5	23.035	0	104.84	28	P35293	P35293	Ras-related protein Rab-18	Rab18	1161
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.5	2.5	2.5	52.841	0.0053043	2.1144	0	P35363	P35363	5-hydroxytryptamine receptor 2A	Htr2a	1162
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	3.6	3.6	3.6	41.374	0	4.0943	0	P35374	P35374	Type-2 angiotensin II receptor	Agtr2	1163
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	4	4	4	42.174	0.00031611	3.2712	0	P35383	P35383	P2Y purinoceptor 2	P2ry2	1164
513690	503560	244710	347960	379960	363840	476630	386620	321590	348670	418790	273910	7	7	7	57.4	57.4	57.4	18.634	0	33.09	11	P35385	P35385	Heat shock protein beta-7	Hspb7	1165
4128900	7175000	5883900	3707100	8012000	7552500	14004000	8202700	15735000	9325100	13683000	17088000	50	50	26	45	45	25.8	129.65	0	323.31	163	P35441	P35441	Thrombospondin-1	Thbs1	1166
38212	36326	46374	33205	43699	42192	81774	62895	75836	49799	80025	92154	3	3	3	14.1	14.1	14.1	35.428	0	21.595	4	P35456;P35456-2	P35456;P35456-2	Urokinase plasminogen activator surface receptor	Plaur	1167
641370	539940	647730	471270	569040	593540	871350	781460	900060	610280	869350	956800	23	23	23	48.5	48.5	48.5	43.231	0	323.31	27	P35486	P35486	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	Pdha1	1168
2874900	2143500	2002900	2333500	2315000	2284300	2808000	2380300	2591500	2676500	2953500	3268300	14	14	14	47.3	47.3	47.3	46.175	0	91.822	24	P35505	P35505	Fumarylacetoacetase	Fah	1169
4593500	3031300	3768100	3585400	4459200	3491000	4510400	4313900	4980200	4739600	4385400	5160600	13	13	12	39.4	39.4	36.1	34.306	0	175.77	28	P35550	P35550	rRNA 2-O-methyltransferase fibrillarin	Fbl	1170
3333100	2492200	2969900	2414400	2427200	2852200	4279700	3132700	3569800	2424700	3873600	4695200	19	19	19	31	31	31	67.277	0	323.31	51	P35564	P35564	Calnexin	Canx	1171
8063.5	9825.2998046875	10889	5056.60009765625	6270.89990234375	11699	9332	12646	7737.2001953125	7460.5	9103	5934	20	20	20	23.8	23.8	23.8	130.72	0	323.31	9	P35569	P35569	Insulin receptor substrate 1	Irs1	1172
941700	698110	699460	773820	803320	724690	1119200	893600	988200	897680	1037700	1252500	13	13	13	30.3	30.3	30.3	48.542	0	196.9	27	P35585;Q9WVP1;Q9WVP1-2	P35585	AP-1 complex subunit mu-1	Ap1m1	1173
3132.39990234375	1868.40002441406	3529.69995117188	1755.80004882813	2262.30004882813	2949.5	3931.69995117188	4231.89990234375	3290	2258.19995117188	2849.39990234375	4879.10009765625	2	2	2	3.4	3.4	3.4	125.98	0	48.205	2	P35601;P35601-2	P35601;P35601-2	Replication factor C subunit 1	Rfc1	1174
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	16.7	16.7	16.7	19.189	0	323.31	0	P35639	P35639	DNA damage-inducible transcript 3 protein	Ddit3	1175
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	6	6	6.7	6.7	6.7	130.71	0	323.31	0	P35689	P35689	DNA repair protein complementing XP-G cells homolog	Ercc5	1176
8350800	5734300	8177800	6769000	7545200	6071400	10818000	10417000	13267000	9659400	10561000	14711000	22	22	20	73.9	73.9	70.9	22.176	0	144.47	80	P35700	P35700	Peroxiredoxin-1	Prdx1	1177
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.5	2.5	2.5	84.089	0.0032929	2.3046	0	P35710;P35710-2	P35710;P35710-2	Transcription factor SOX-5	Sox5	1178
486270	477110	500030	433210	386850	484230	653230	574760	593240	480100	687520	670810	2	2	2	18.2	18.2	18.2	25.814	0	98.073	26	P35762	P35762	CD81 antigen	Cd81	1179
133060	112860	96170	117620	128070	119280	168520	120930	127320	134330	153330	131790	9	9	9	20.6	20.6	20.6	49.593	0	115.42	11	P35821	P35821	Tyrosine-protein phosphatase non-receptor type 1	Ptpn1	1180
189350	233610	256190	158000	225170	260050	428360	337890	494750	249420	371690	501180	17	17	16	16.3	16.3	15.4	164.18	0	261.47	20	P35822	P35822	Receptor-type tyrosine-protein phosphatase kappa	Ptprk	1181
155760	83335	145500	128110	119610	122110	182430	143160	157750	135350	143340	176950	18	18	18	28.4	28.4	28.4	86.525	0	323.31	16	P35831	P35831	Tyrosine-protein phosphatase non-receptor type 12	Ptpn12	1182
2136200	1212700	1597000	1829200	2190200	1281100	1985000	1973400	2007600	2211000	1807400	2126600	22	22	21	45.2	45.2	41.9	66.269	0	323.31	38	P35922-3;P35922;P35922-9;P35922-2;P35922-8;P35922-7;P35922-5;P35922-4;P35922-6;P35922-11;P35922-10;P35922-12	P35922-3;P35922;P35922-9;P35922-2;P35922-8;P35922-7;P35922-5;P35922-4;P35922-6;P35922-11;P35922-10;P35922-12	Fragile X mental retardation protein 1 homolog	Fmr1	1183
429020	369700	384310	323770	690460	384530	668660	405760	649500	766310	693970	794780	14	14	14	19.3	19.3	19.3	94.946	0	323.31	23	P35951;Q924X6;Q924X6-2	P35951	Low-density lipoprotein receptor	Ldlr	1184
8025.7001953125	5906.89990234375	13867	9141.900390625	13204	9268.5	14981	17362	35754	18522	13257	41319	2	2	2	2	2	2	149.87	0.0028649	2.3841	3	P35969	P35969	Vascular endothelial growth factor receptor 1	Flt1	1185
3383500	2724200	2857900	2816500	3352900	2892800	3411700	3304500	3329800	3163900	3379000	3533700	9	9	9	69.1	69.1	69.1	17.804	0	124.1	30	P35979	P35979	60S ribosomal protein L12	Rpl12	1186
2230900	1659200	1971500	1866700	2230800	1779600	2184200	2316000	2067300	2492200	2156100	2169300	10	10	10	43.6	43.6	43.6	21.644	0	57.462	24	P35980	P35980	60S ribosomal protein L18	Rpl18	1187
212200	125220	191230	127780	127260	121170	171120	247090	180180	132950	178170	224760	7	7	7	12.8	12.8	12.8	77.444	0	21.379	10	P36371	P36371	Antigen peptide transporter 2	Tap2	1188
1615400	1177600	1283600	1064200	1133000	1126100	1743600	1949400	1742800	1266100	1784600	2138300	5	2	2	23.7	13.6	13.6	22.371	0	30.061	3	P36536	P36536	GTP-binding protein SAR1a	Sar1a	1189
265280	293900	225640	190070	168360	269960	251590	276310	207580	183870	220350	280150	7	7	7	22.8	22.8	22.8	49.714	0	127.71	9	P36552	P36552	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	Cpox	1190
863700	515320	684050	599150	661410	581280	920630	760690	912960	744570	970340	1035100	13	13	13	27.3	27.3	27.3	68.77	0	323.31	12	P36916;P36916-2	P36916;P36916-2	Guanine nucleotide-binding protein-like 1	Gnl1	1191
131560	86818	142370	108120	125910	119790	183590	140070	157840	122690	163920	171870	8	5	5	20.5	12.6	12.6	42.795	0	8.4053	7	P36993;P36993-4;P36993-3;P36993-5	P36993;P36993-4;P36993-3;P36993-5	Protein phosphatase 1B	Ppm1b	1192
2886000	2316400	2402400	2242800	2265000	2418600	3355700	2997500	3011000	2539500	3223400	3485300	21	21	21	47.2	47.2	47.2	77.043	0	323.31	49	P37040	P37040	NADPH--cytochrome P450 reductase	Por	1193
14448	16475	11891	17709	17586	20073	21656	18775	17109	21377	21324	17187	1	1	1	2	2	2	57.225	0.0058789	2.0778	2	P37172	P37172	Activin receptor type-1	Acvr1	1194
10786000	22172000	14304000	8353600	9367500	22227000	28088000	16384000	17831000	10508000	30258000	21297000	30	30	29	92.5	92.5	90	22.576	0	323.31	160	P37804	P37804	Transgelin	Tagln	1195
